# ----------------------------------------
# kaijo-fishing.com
# weekly-report-Weekly-analyss
# 20260530-20260606
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック
【2026年最新版】関西・西日本の海上釣り堀おすすめランキング・海釣り施設一覧 — 海上アングラー,/fishing-facility/west-japan/,new,4,4,5,16.8,0.4,0.6,3,3,4,21,0.5,0.5,3,3,3,4.666666666666667,0.3333333333333333,0.6666666666666666,1,1,2,35,0.5,0.5
"【三重県】釣り公園佐助屋｜2時間4,000円〜！伊勢志摩で一番「自由」な複合型釣り施設 — 海上アングラー",/blog/fishing-park-sasukeya/,new,4,4,4,40,1,0,4,4,4,40,1,0,2,2,2,36,1,0,1,1,1,24,1,0
【大阪府】南港魚つり園護岸｜入場無料！市内から30分で楽しめる本格海釣りスポット — 海上アングラー,/fishing-facility/nanko-fishing-park/,new,4,4,8,51.57142857142857,0.5714285714285714,0.42857142857142855,2,2,3,75.66666666666667,0.6666666666666666,0.3333333333333333,3,3,4,56.75,0.5,0.5,1,1,4,44.666666666666664,0.6666666666666666,0.3333333333333333
【鹿児島県】鴨池海づり公園｜足元の水深25m！大人600円で青物の強烈な引きを体験 — 海上アングラー,/blog/kamoike-sea-fishing-park/,new,4,4,4,9,0.25,0.75,2,2,2,18,0.5,0.5,3,3,3,12,0.3333333333333333,0.6666666666666666,1,1,1,0,0,1
【2026年最新版】関東・東日本の海上釣り堀おすすめランキング・海釣り施設一覧 — 海上アングラー,/fishing-facility/east-japan/,new,3,3,4,27.333333333333332,0.6666666666666666,0.3333333333333333,3,3,4,27.333333333333332,0.6666666666666666,0.3333333333333333,1,1,2,66,1,0,2,2,2,8,0.5,0.5
【三重県】海上釣り堀福寿丸｜活きアジで青物狙い！会員制度がお得な南伊勢の本格派 — 海上アングラー,/blog/kaijo-tsuribori-fukujumaru/,new,3,3,3,71.66666666666667,0.6666666666666666,0.3333333333333333,3,3,3,71.66666666666667,0.6666666666666666,0.3333333333333333,1,1,1,0,0,1,2,2,2,107.5,1,0
【京都府】舞鶴親海公園｜入場無料！365日楽しめる舞鶴湾のファミリー釣り場 — 海上アングラー,/blog/maizuru-shinkai-park/,new,3,3,3,14.333333333333334,0.6666666666666666,0.3333333333333333,3,3,3,14.333333333333334,0.6666666666666666,0.3333333333333333,3,3,3,14.333333333333334,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0
【兵庫県】海上釣り堀あっとしー（@sea）｜JR明石駅から徒歩15分！船に乗らない都市型釣り堀 — 海上アングラー,/blog/kaijo-tsuribori-at-sea/,new,3,3,4,35.5,1,0,3,3,4,35.5,1,0,0,0,0,0,0,0,3,3,4,35.5,1,0
"【高知県】つり筏 深浦｜3,000円でトイレ・屋根・コーヒー付き！快適すぎる筏釣りパラダイス — 海上アングラー",/blog/tsuri-ikada-fukaura/,new,3,3,4,32.666666666666664,1,0,3,3,4,32.666666666666664,1,0,2,2,3,36,1,0,1,1,1,26,1,0
釣果を分ける「ハリス」の選び方｜フロロカーボンの号数と長さの基準 — 海上アングラー,/blog/tactics/gear/harris-importance/,new,3,3,3,49,1,0,3,3,3,49,1,0,1,1,1,37,1,0,2,2,2,55,1,0
高級魚シマアジを海上釣り堀で攻略｜繊細なアタリと強烈な引きへの対策 — 海上アングラー,/tactics/fish-strategy/shimaji/,new,3,3,3,72.66666666666667,1,0,3,3,3,72.66666666666667,1,0,2,2,2,96,1,0,1,1,1,26,1,0
【中級】イサキ攻略：シラサエビの「撒きエサ」との同調！食い渋り時の誘い術 — 海上アングラー,/tactics/fish-strategy/isaki/intermediate/,new,3,3,3,65.33333333333333,1,0,2,2,2,90.5,1,0,2,2,2,90.5,1,0,1,1,1,15,1,0
【千葉県】太海フラワー磯釣りセンター｜手ぶらOK・初心者向け完全ガイド — 海上アングラー,/fishing-facility/futomi-flower-isotsuri-center/,new,3,3,3,50.333333333333336,1,0,1,1,1,73,1,0,3,3,3,50.333333333333336,1,0,0,0,0,0,0,0
Error 404 — 海上アングラー,/blog/fishing-facility/west-japan/,new,2,2,0,8,1,0,2,2,0,8,1,0,0,0,0,0,0,0,2,2,0,8,1,0
「エサ取り名人」カワハギを海上釣り堀で攻略！テクニック必須の攻略術 — 海上アングラー,/tactics/fish-strategy/kawahagi/,new,2,2,2,23,1,0,2,2,2,23,1,0,2,2,2,23,1,0,0,0,0,0,0,0
【2026年最新版】関西・西日本の海上釣り堀おすすめランキング・海釣り施設一覧 — 海上アングラー,/,new,2,2,0,14,1,0,2,2,0,14,1,0,0,0,0,0,0,0,2,2,0,14,1,0
【三重県】つりぼりマルヨ｜歩いて行ける「陸続き」！4日の大放流＆破格の子供料金が魅力 — 海上アングラー,/blog/tsuribori-maruyo/,new,2,2,3,99.66666666666667,1,0,2,2,3,99.66666666666667,1,0,1,1,2,134,1,0,1,1,1,31,1,0
"【三重県】相差海釣センター｜4時間5,500円！安心のボウズ保証＆鳥羽・相差観光にも最適 — 海上アングラー",/blog/ousatsu-sea-fishing-center/,new,2,2,4,76.5,1,0,2,2,4,76.5,1,0,2,2,4,76.5,1,0,0,0,0,0,0,0
【三重県】鵜方浜釣センター｜屋根・トイレ完備の「快適筏」で英虞湾の野生チヌに挑む — 海上アングラー,/blog/ugata-hamatsuri-center/,new,2,2,2,57.5,1,0,2,2,2,57.5,1,0,0,0,0,0,0,0,2,2,2,57.5,1,0
【佐賀県】仮屋湾遊漁センター｜天然と養殖が共存！初心者から大物狙いまで楽しめる4つのコース — 海上アングラー,/blog/kariyawan-fishing-center/,new,2,2,3,32.5,1,0,2,2,3,32.5,1,0,1,1,1,26,1,0,1,1,2,39,1,0
【兵庫県】海上釣り堀 水宝（すいほう）｜世界最大級！姫路港から船で25分、夢のイケス群を攻略 — 海上アングラー,/fishing-facility/suihou-fishing-pond/,new,2,2,2,21,1,0,2,2,2,21,1,0,0,0,0,0,0,0,2,2,2,21,1,0
【愛媛県】フィッシングパーク大三島｜釣り桟橋と釣り堀が選べる！しまなみ海道の絶景スポット — 海上アングラー,/fishing-facility/fishing-park-omishima/,new,2,2,2,54,1,0,2,2,2,54,1,0,2,2,2,54,1,0,0,0,0,0,0,0
【愛知県】爆釣 美浜フィッシングパーク｜高級魚が狙える知多半島の釣り堀・料金・アクセス情報 — 海上アングラー,/blog/bakucho-mihama-fishing-park/,new,2,2,2,26,1,0,2,2,2,26,1,0,2,2,2,26,1,0,0,0,0,0,0,0
【愛知県】爆釣 美浜フィッシングパーク｜高級魚が狙える知多半島の釣り堀・料金・アクセス情報 — 海上アングラー,/fishing-facility/center-japan/,new,2,2,1,32,1,0,2,2,1,32,1,0,2,2,1,32,1,0,0,0,0,0,0,0
【沖縄県】本部釣りイカダ 海生活｜美ら海水族館すぐ！釣りにBBQに遊び尽くす「海上の楽園」 — 海上アングラー,/blog/itoman-ikada-tsurigu-no-zousan/,new,2,2,2,276,1,0,2,2,2,276,1,0,2,2,2,276,1,0,0,0,0,0,0,0
【理屈】マダイの「視覚」と「色彩認識」の科学：なぜ海上釣り堀で「黄色」と「赤」が特効薬なのか？ — 海上アングラー,/tactics/fish-strategy/madai/theory/,new,2,2,2,153,0.5,0.5,2,2,2,153,0.5,0.5,2,2,2,153,0.5,0.5,0,0,0,0,0,0
【福井県】フィッシングレインボー｜三方五湖・日向湖で楽しむ！人気の海上釣り堀・料金・予約・攻略 — 海上アングラー,/fishing-facility/fishing-rainbow/,established,2,2,2,21,0.5,0.5,2,2,2,21,0.5,0.5,0,0,0,0,0,0,2,2,2,21,0.5,0.5
【長崎県】迎パールマリン｜全国的にも稀少！「移動式イカダ」で巡る九十九島の爆釣ポイント — 海上アングラー,/blog/mukai-pearl-marine/,new,2,2,3,102.5,1,0,2,2,3,102.5,1,0,1,1,2,148,1,0,1,1,1,57,1,0
"【静岡県】フィッシングパーク土肥｜1,500円で手ぶら海釣り体験！西伊豆の穴場 — 海上アングラー",/fishing-facility/fishing-park-toi/,new,2,2,2,56,1,0,2,2,2,56,1,0,0,0,0,0,0,0,2,2,2,56,1,0
【静岡県】海上釣り堀 太公望｜釣ってその場で食べる！網代港の究極体験 — 海上アングラー,/blog/kaijo-tsuribori-taikoubou/,new,2,2,2,23.5,0.5,0.5,2,2,2,23.5,0.5,0.5,0,0,0,0,0,0,2,2,2,23.5,0.5,0.5
なぜ「脈釣り」が最強と言われるのか？ウキ釣りとの違いとメリットを解説 — 海上アングラー,/column/trivia/myaku-fishing-vs-uki/,new,2,2,2,73.5,1,0,2,2,2,73.5,1,0,0,0,0,0,0,0,2,2,2,73.5,1,0
【愛媛県】フィッシングパーク大三島｜釣り桟橋と釣り堀が選べる！しまなみ海道の絶景スポット — 海上アングラー,/blog/fishing-park-omishima/,new,2,2,2,35,1,0,1,1,1,45,1,0,2,2,2,35,1,0,0,0,0,0,0,0
【愛知県】新舞子マリンパーク魚釣り施設｜無料で700mの広大な釣り場が楽しめる知多半島の人気スポット — 海上アングラー,/blog/shinmaiko-marine-park-fishing/,new,2,2,2,61.5,1,0,2,2,2,61.5,1,0,1,1,1,68,1,0,0,0,0,0,0,0
【神奈川県】城ヶ島J’s Fishing｜船に乗らずに高級魚！徒歩で行ける海上釣り堀 — 海上アングラー,/fishing-facility/jogashima-js-fishing/,new,2,2,2,29.5,0.5,0.5,1,1,1,0,0,1,0,0,0,0,0,0,2,2,2,29.5,0.5,0.5
【福井県】ひるが海上釣堀｜三方五湖・日向湖で高級魚を狙う！手ぶらOKの人気釣り堀 — 海上アングラー,/blog/sea-fishing-park-mikata/,new,2,2,1,27.5,1,0,1,1,0,26,1,0,0,0,0,0,0,0,2,2,1,27.5,1,0
【福井県】小浜市漁協・釣り筏｜若狭湾のチヌ聖地！絶景の中で楽しむ本格筏釣り — 海上アングラー,/blog/obama-city-fishing-coop-raft/,new,2,2,2,30.5,1,0,1,1,1,40,1,0,1,1,1,40,1,0,1,1,1,21,1,0
【香川県】ソルトレイクひけた 安戸池｜ハマチ養殖発祥の聖地で挑む！絶品オリーブハマチ＆巨大池でのルアー戦 — 海上アングラー,/fishing-facility/saltlake-hiketa-adoike/,new,2,2,2,9,0.5,0.5,1,1,1,8,0,1,0,0,0,0,0,0,2,2,2,9,0.5,0.5
【鹿児島県】桜島海づり公園｜活火山を望む絶景釣り場！200円で味わう非日常 — 海上アングラー,/blog/sakurajima-sea-fishing-park/,new,2,2,2,11.5,0.5,0.5,1,1,1,23,1,0,2,2,2,11.5,0.5,0.5,0,0,0,0,0,0
Error 404 — 海上アングラー,/,new,1,1,0,144,1,0,1,1,0,144,1,0,0,0,0,0,0,0,1,1,0,144,1,0
Error 404 — 海上アングラー,/blog/hiramasa/theory/,new,1,1,1,79,1,0,1,1,1,79,1,0,1,1,1,79,1,0,0,0,0,0,0,0
Error 404 — 海上アングラー,/blog/shimaji-strategy/,established,1,1,0,184,1,0,1,1,0,184,1,0,1,1,0,184,1,0,0,0,0,0,0,0
Error 404 — 海上アングラー,/fishing-facility/center-japan/,new,1,1,2,3,1,0,1,1,2,3,1,0,0,0,0,0,0,0,1,1,2,3,1,0
Error 404 — 海上アングラー,/fishing-facility/east-japan/,new,1,1,0,52,1,0,1,1,0,52,1,0,1,1,0,52,1,0,0,0,0,0,0,0
Error 404 — 海上アングラー,/fishing-facility/west-japan/kyoto/maizuru-shinkai-park/,new,1,1,1,3,0,1,1,1,1,3,0,1,1,1,1,3,0,1,0,0,0,0,0,0
Error 404 — 海上アングラー,/fishing-facility/west-japan/mie/fishing-park-triton/,new,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
「幻の高級魚」クエを海上釣り堀で釣る！最強底物の攻略ガイド — 海上アングラー,/tactics/fish-strategy/kue/,new,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
【三重県】あなたに逢い鯛。釣り堀｜少人数限定！プライベート感満載の海上釣り堀 — 海上アングラー,/blog/anatani-aitai-fishing/,established,1,1,1,105,1,0,1,1,1,105,1,0,1,1,1,105,1,0,0,0,0,0,0,0
【三重県】あなたに逢い鯛。釣り堀｜少人数限定！プライベート感満載の海上釣り堀 — 海上アングラー,/fishing-facility/anatani-aitai-fishing/,new,1,1,1,34,1,0,1,1,1,34,1,0,0,0,0,0,0,0,1,1,1,34,1,0
【三重県】はさま浦釣り堀センター｜マダイ1匹保証＆最速移動の宿泊パックが魅力 — 海上アングラー,/blog/hasamaura-fishing-center/,new,1,1,1,22,1,0,1,1,1,22,1,0,0,0,0,0,0,0,1,1,1,22,1,0
【三重県】フィッシングパークトリトン｜2匹補償＆海上BBQ！鳥羽の恵みを満喫 — 海上アングラー,/blog/fishing-park-triton/,new,1,1,1,98,1,0,1,1,1,98,1,0,0,0,0,0,0,0,1,1,1,98,1,0
【三重県】内瀬釣りセンター｜2つの港を使い分け！チヌ師からファミリーまで楽しめる「筏のデパート」 — 海上アングラー,/blog/naize-fishing-center/,new,1,1,1,13,1,0,1,1,1,13,1,0,0,0,0,0,0,0,1,1,1,13,1,0
【三重県】松名瀬フィッシングパーク｜陸の上で海の高級魚を！バリアフリーの海水池 — 海上アングラー,/blog/matsunase-fishing-park/,new,1,1,1,36,1,0,1,1,1,36,1,0,1,1,1,36,1,0,0,0,0,0,0,0
【三重県】海上釣り堀福寿丸｜活きアジで青物狙い！会員制度がお得な南伊勢の本格派 — 海上アングラー,(not set),new,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
【三重県】賢島フィッシングパーク海遊苑｜駅チカ＆手ぶら！釣って即食べる極上体験 — 海上アングラー,/blog/kashikojima-fishing-park-kaiyuen/,new,1,1,1,33,1,0,1,1,1,33,1,0,1,1,1,33,1,0,0,0,0,0,0,0
【三重県】鵜方浜釣センター｜屋根・トイレ完備の「快適筏」で英虞湾の野生チヌに挑む — 海上アングラー,/blog/ugata-hamatsuri-center/,established,1,1,1,48,1,0,1,1,1,48,1,0,0,0,0,0,0,0,1,1,1,48,1,0
【上級】シマアジ攻略：ハリスの「たるませ（ふかせ）」で超絶警戒心を解く！完全フカセ風ミャク釣りの極意 — 海上アングラー,(not set),established,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
【上級】スズキ攻略：難攻不落の「エラ洗い」を100%封じ込める！ロッドポジションとラインテンションの極意 — 海上アングラー,(not set),new,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
【上級】巨大クエ攻略：網のたるみ・隙間へのピンポイントアプローチと強引な引きずり出し術 — 海上アングラー,/tactics/fish-strategy/kue/advanced/,new,1,1,1,8,0,1,1,1,1,8,0,1,1,1,1,8,0,1,0,0,0,0,0,0
【中級】シマアジ攻略：シラサエビの複数掛けと「シェイク」でスイッチを入れる技 — 海上アングラー,/tactics/fish-strategy/shimaji/,new,1,1,0,570,1,0,1,1,0,570,1,0,0,0,0,0,0,0,1,1,0,570,1,0
【中級】スズキ攻略：「死にエサ」を「動くもの」に見せる！捕食スイッチを入れる誘い術 — 海上アングラー,(not set),new,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
【中級】スズキ攻略：「死にエサ」を「動くもの」に見せる！捕食スイッチを入れる誘い術 — 海上アングラー,/blog/suzuki/intermediate/,new,1,1,1,167,1,0,1,1,1,167,1,0,1,1,1,167,1,0,0,0,0,0,0,0
【中級】スズキ攻略：「死にエサ」を「動くもの」に見せる！捕食スイッチを入れる誘い術 — 海上アングラー,/tactics/fish-strategy/suzuki/intermediate/,new,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
"【京都府】宮津市海洋つり場｜絶景の宮津湾で楽しむ！格安1,100円の本格海釣り施設 — 海上アングラー",/,new,1,1,0,92,1,0,1,1,0,92,1,0,0,0,0,0,0,0,1,1,0,92,1,0
【兵庫県】海上釣り堀あっとしー（@sea）｜JR明石駅から徒歩15分！船に乗らない都市型釣り堀 — 海上アングラー,/fishing-facility/kaijo-tsuribori-at-sea/,new,1,1,1,62,1,0,1,1,1,62,1,0,1,1,1,62,1,0,0,0,0,0,0,0
【兵庫県】淡路じゃのひれフィッシングパーク｜キャンプもイルカも！淡路島最大級の釣りリゾート — 海上アングラー,(not set),new,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
【兵庫県】淡路じゃのひれフィッシングパーク｜キャンプもイルカも！淡路島最大級の釣りリゾート — 海上アングラー,/blog/awaji-janohire-fishing-park/,new,1,1,1,144,1,0,1,1,1,144,1,0,0,0,0,0,0,0,1,1,1,144,1,0
【兵庫県】須磨海づり公園｜2024年11月リニューアル！最新設備と絶景を楽しめる新生シンボル — 海上アングラー,/blog/himeji-city-fishing-center/,new,1,1,0,112,1,0,1,1,0,112,1,0,1,1,0,112,1,0,0,0,0,0,0,0
【兵庫県】須磨海づり公園｜2024年11月リニューアル！最新設備と絶景を楽しめる新生シンボル — 海上アングラー,/fishing-facility/suma-sea-fishing-park/,new,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
【兵庫県・無期限休業中】家島海上釣り堀 海恵（かいえい）｜播磨灘のメガ施設！姫路から渡船で渡る「爆釣の聖地」 — 海上アングラー,/blog/sea-fishing-pond-kaikei/,new,1,1,1,23,1,0,1,1,1,23,1,0,0,0,0,0,0,0,1,1,1,23,1,0
【北海道】苫小牧港海釣り施設（一本防波堤）｜サクラマスも狙える！定員100名の人気釣り場攻略ガイド — 海上アングラー,/fishing-facility/tomakomai-port-sea-fishing-facility/,new,1,1,1,72,1,0,1,1,1,72,1,0,1,1,1,72,1,0,0,0,0,0,0,0
【千葉県】オリジナルメーカー海づり公園｜格安料金・釣りレッスン完全ガイド — 海上アングラー,/fishing-facility/original-maker-sea-fishing-park/,new,1,1,1,63,1,0,1,1,1,63,1,0,1,1,1,63,1,0,0,0,0,0,0,0
【和歌山県】カタタの釣堀｜白浜温泉＆とれとれ市場に隣接！2コース制が嬉しい海上釣り堀 — 海上アングラー,/fishing-facility/kakata-fishing-pond/,new,1,1,2,18,1,0,1,1,2,18,1,0,0,0,0,0,0,0,1,1,2,18,1,0
【和歌山県】和歌山マリーナシティ海釣り公園｜観光ついでに手ぶらで！海釣り公園＆釣り堀が楽しめる — 海上アングラー,/blog/wakayama-marinacity-fishing-park/,new,1,1,1,42,1,0,1,1,1,42,1,0,1,1,1,42,1,0,0,0,0,0,0,0
【和歌山県】由良海つり公園｜海上釣り堀＆筏釣りの二刀流！由良湾の穏やかな海で大物を狙う — 海上アングラー,/blog/yura-sea-fishing-park/,new,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
【和歌山県】由良海つり公園｜海上釣り堀＆筏釣りの二刀流！由良湾の穏やかな海で大物を狙う — 海上アングラー,/fishing-facility/yura-sea-fishing-park/,new,1,1,1,27,1,0,1,1,1,27,1,0,0,0,0,0,0,0,1,1,1,27,1,0
【和歌山県】雑賀崎シーパーク｜桟橋で歩いて渡れるバリアフリー海上釣り堀！チョイ釣りもOK — 海上アングラー,/fishing-facility/saikakizaki-seapark/,established,1,1,1,94,1,0,1,1,1,94,1,0,0,0,0,0,0,0,1,1,1,94,1,0
【大分県】かまえ海上釣り堀 釣っちゃ王｜竿1本でシェアOK！マダイ保証付きの初心者天国 — 海上アングラー,/fishing-facility/kamae-sea-fishing-tsunchaoh/,new,1,1,1,12,1,0,1,1,1,12,1,0,0,0,0,0,0,0,1,1,1,12,1,0
【大阪府】とっとパーク小島｜絶景の海釣り公園！青物・マダイが狙える関西屈指の人気スポット — 海上アングラー,/blog/nanko-fishing-park/,new,1,1,0,78,1,0,1,1,0,78,1,0,1,1,0,78,1,0,0,0,0,0,0,0
【大阪府】とっとパーク小島｜絶景の海釣り公園！青物・マダイが狙える関西屈指の人気スポット — 海上アングラー,/fishing-facility/totto-park-koshima/,new,1,1,1,78,1,0,1,1,1,78,1,0,1,1,1,78,1,0,0,0,0,0,0,0
【大阪府】南港魚つり園護岸｜入場無料！市内から30分で楽しめる本格海釣りスポット — 海上アングラー,/blog/nanko-fishing-park/,established,1,1,1,133,1,0,1,1,1,133,1,0,1,1,1,133,1,0,0,0,0,0,0,0
【大阪府】大阪海上釣り堀サザン｜関空対岸で高級魚ハント！ナイターも人気の釣りパラダイス — 海上アングラー,/fishing-facility/osaka-sea-fishing-southern/,new,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
【大阪府】海上釣り堀オーパ｜ボウズ保証あり！初心者も100%楽しめる「絶対釣らせる」釣り場 — 海上アングラー,/blog/kaijo-tsuribori-opa/,new,1,1,1,13,1,0,1,1,1,13,1,0,1,1,1,13,1,0,0,0,0,0,0,0
