# ----------------------------------------
# kaijo-fishing.com
# 週報PPDCA用-1week-自由形式 1
# 20260704-20260711
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,合計,合計,合計,合計,合計
海上アングラー — 日本一の海上釣り堀総合情報サイト,/,bing / organic,4,4,1,12.25,0,4,4,1,12.25,0
Error 404 — 海上アングラー,/blog/bakucho-mihama-fishing-park,(direct) / (none),3,3,0,0,0,3,3,0,0,0
Error 404 — 海上アングラー,/blog/isaki,google / organic,3,3,0,1,0,3,3,0,1,0
Error 404 — 海上アングラー,/blog/kaijo-tsuribori-opa,google / organic,3,3,0.3333333333333333,0,0,3,3,0.3333333333333333,0,0
Error 404 — 海上アングラー,/blog/kashikojima-fishing-park-kaiyuen,google / organic,3,3,0,1.3333333333333333,0,3,3,0,1.3333333333333333,0
Error 404 — 海上アングラー,/blog/nanko-fishing-park,yahoo / organic,3,3,0,2.6666666666666665,0,3,3,0,2.6666666666666665,0
Error 404 — 海上アングラー,/blog/sea-fishing-land,yahoo / organic,3,3,0,2.6666666666666665,0,3,3,0,2.6666666666666665,0
Error 404 — 海上アングラー,/blog/waita-sea-fishing-pier,yahoo / organic,3,3,0,1.3333333333333333,0,3,3,0,1.3333333333333333,0
【京都府】舞鶴親海公園｜入場無料！365日楽しめる舞鶴湾のファミリー釣り場 — 海上アングラー,/blog/maizuru-shinkai-park,yahoo / organic,3,3,1,42,0,3,3,1,42,0
"【大阪府】とっとパーク小島｜大人1,500円・青物＆マダイ狙える関西屈指の絶景海釣り公園 — 海上アングラー",/fishing-facility/totto-park-koshima,yahoo / organic,3,3,1,63.666666666666664,0,3,3,1,63.666666666666664,0
【大阪府】海釣ぽーと田尻｜雨でも安心！橋の下にある全天候型・放流満載の釣り堀 — 海上アングラー,/blog/umizuri-port-tajiri,yahoo / organic,3,3,1,24.333333333333332,0,3,3,1,24.333333333333332,0
【山口県】下関フィッシングパーク｜大人830円・響灘の絶景と安全な金網桟橋で家族釣り — 海上アングラー,/fishing-facility/shimonoseki-fishing-park,bing / organic,3,3,1,57,0,3,3,1,57,0
【石川県】フィッシングブリッジ赤崎｜24時間無料！能登の磯を手軽に攻める釣り桟橋 — 海上アングラー,/blog/fishing-bridge-akasaki,google / organic,3,3,0.6666666666666666,31,0,3,3,0.6666666666666666,31,0
【福井県】シーパーク丹生｜手ぶらでGO！釣った真鯛をその場でBBQ！究極の「食育」体験 — 海上アングラー,/fishing-facility/seapark-nyu,google / organic,3,1,0,0,0,3,1,0,0,0
"【長崎県】迎パールマリン｜大人6,600円・移動式イカダで巡る九十九島の爆釣ポイント — 海上アングラー",/blog/mukai-pearl-marine,google / organic,3,3,0.3333333333333333,8.666666666666666,0,3,3,0.3333333333333333,8.666666666666666,0
【静岡県】海上釣り堀 太公望｜釣ってその場で食べる！網代港の究極体験 — 海上アングラー,/blog/kaijo-tsuribori-taikoubou,bing / organic,3,3,1,88.66666666666667,0,3,3,1,88.66666666666667,0
"【高知県】筏釣り 高橋渡船｜最大11時間遊んで4,000円！海上BBQも可能な極上の遊び場 — 海上アングラー",/blog/raft-fishing-takahashi,google / organic,3,3,0.6666666666666666,24.666666666666668,0,3,3,0.6666666666666666,24.666666666666668,0
釣った魚の正しい冷凍保存法｜鮮度を保つ真空・ラップの科学 — 海上アングラー,/column/trivia/fish-freezing-method,openai / organic,3,2,0.3333333333333333,23.333333333333332,0,3,2,0.3333333333333333,23.333333333333332,0
難敵イシダイ（石鯛）攻略！海上釣り堀で高級魚を手にする究極のエサと技 — 海上アングラー,/blog/ishidai-strategy,yahoo / organic,3,3,0.6666666666666666,94.33333333333333,0,3,3,0.6666666666666666,94.33333333333333,0
Error 404 — 海上アングラー,/blog/asamushi-sea-fishing-park,bing / organic,2,2,0,2,0,2,2,0,2,0
Error 404 — 海上アングラー,/blog/column/ranking/chugoku-shikoku,yahoo / organic,2,2,1,44.5,0,2,2,1,44.5,0
Error 404 — 海上アングラー,/blog/family-tsuribori-tsutteminde,google / organic,2,2,0.5,6.5,0,2,2,0.5,6.5,0
Error 404 — 海上アングラー,/blog/fishing-park-hikari,google / organic,2,2,0.5,4.5,0,2,2,0.5,4.5,0
Error 404 — 海上アングラー,/blog/hiruga-sea-fishing-pond,google / organic,2,2,0,0.5,0,2,2,0,0.5,0
Error 404 — 海上アングラー,/blog/isaki,yahoo / organic,2,2,0,2.5,0,2,2,0,2.5,0
Error 404 — 海上アングラー,/blog/itoman-ikada-tsurigu-no-zousan,yahoo / organic,2,2,0.5,2.5,0,2,2,0.5,2.5,0
Error 404 — 海上アングラー,/blog/kaijo-tsuribori-at-sea,google / organic,2,2,0.5,1,0,2,2,0.5,1,0
Error 404 — 海上アングラー,/blog/kamoike-sea-fishing-park,google / organic,2,2,0,0,0,2,2,0,0,0
Error 404 — 海上アングラー,/blog/kariyawan-fishing-center,yahoo / organic,2,2,0,2,0,2,2,0,2,0
Error 404 — 海上アングラー,/blog/maizuru-shinkai-park,google / organic,2,2,0,0.5,0,2,2,0,0.5,0
Error 404 — 海上アングラー,/blog/maizuru-shinkai-park,yahoo / organic,2,2,0.5,4.5,0,2,2,0.5,4.5,0
Error 404 — 海上アングラー,/blog/miyazu-city-marine-fishing-park,google / organic,2,2,0,1,0,2,2,0,1,0
Error 404 — 海上アングラー,/blog/miyazu-city-marine-fishing-park,yahoo / organic,2,2,0.5,2.5,0,2,2,0.5,2.5,0
Error 404 — 海上アングラー,/blog/mukai-pearl-marine,google / organic,2,2,0,0.5,0,2,2,0,0.5,0
Error 404 — 海上アングラー,/blog/nanko-fishing-park,google / organic,2,2,0.5,4.5,0,2,2,0.5,4.5,0
Error 404 — 海上アングラー,/blog/naoetsu-port-3rd-east-breakwater,google / organic,2,2,0,0.5,0,2,2,0,0.5,0
Error 404 — 海上アングラー,/blog/shibushi-bay-daikoku-dolphin-land,yahoo / organic,2,2,0,2,0,2,2,0,2,0
Error 404 — 海上アングラー,/blog/shinmaiko-marine-park-fishing,google / organic,2,2,0,0,0,2,2,0,0,0
Error 404 — 海上アングラー,/blog/shinojima-tsuri-tengoku,google / organic,2,2,0,3.5,0,2,2,0,3.5,0
Error 404 — 海上アングラー,/blog/tactics/fish-strategy/hiramasa,google / organic,2,2,0.5,0,0,2,2,0.5,0,0
Error 404 — 海上アングラー,/blog/tactics/gear/reel-and-line,(direct) / (none),2,2,0,0,0,2,2,0,0,0
Error 404 — 海上アングラー,/blog/takashima-tobishima-isotsuri-park,google / organic,2,2,1,5,0,2,2,1,5,0
Error 404 — 海上アングラー,/blog/ugata-hamatsuri-center,google / organic,2,2,0,1,0,2,2,0,1,0
Error 404 — 海上アングラー,/blog/yuharai-pond,google / organic,2,2,0.5,2.5,0,2,2,0.5,2.5,0
Error 404 — 海上アングラー,/blog/yuharai-pond,yahoo / organic,2,2,0,1,0,2,2,0,1,0
Error 404 — 海上アングラー,/fishing-facility/edogawa-sea-fishing-park,chatgpt.com / ai-assistant,2,2,0,0,0,2,2,0,0,0
「レンタルタックルで本当に釣れるか？」貸し竿の実力と限界を正直に解説 — 海上アングラー,/column/trivia/rental-tackle-honest-review,(direct) / (none),2,2,0,0,0,2,2,0,0,0
【1月】「寒ブリ」はなぜ脂がのって美味しい？極寒期に魚が肥える理由を科学する — 海上アングラー,/column/trivia/january-kanburi-fat-science,google / organic,2,1,0,0,0,2,1,0,0,0
【2026年最新】中国・四国の海上釣り堀おすすめランキング｜広島・山口・香川・徳島・高知 全7施設を比較 — 海上アングラー,/blog/column/ranking/chugoku-shikoku,bing / organic,2,1,0.5,37.5,0,2,1,0.5,37.5,0
【2026年最新】関東・静岡・愛知の海上釣り堀おすすめランキング｜千葉・神奈川・静岡・愛知 全8施設を比較 — 海上アングラー,/column/ranking/kanto-tokai,(direct) / (none),2,2,0,0.5,0,2,2,0,0.5,0
【2026年最新】関西の海上釣り堀おすすめランキング｜大阪・兵庫 全9施設を比較 — 海上アングラー,/blog/column/ranking/kansai,bing / organic,2,2,1,64,0,2,2,1,64,0
【2026年最新】関西の海上釣り堀おすすめランキング｜大阪・兵庫 全9施設を比較 — 海上アングラー,/blog/column/ranking/kansai,yahoo / organic,2,2,1,11,0,2,2,1,11,0
【2026年最新】関西の海上釣り堀おすすめランキング｜大阪・兵庫 全9施設を比較 — 海上アングラー,/column/ranking/kansai,google / organic,2,2,1,58.5,0,2,2,1,58.5,0
【2026年最新版】関東・東日本の海上釣り堀ランキングTOP3｜全9施設比較 — 海上アングラー,/fishing-facility/east-japan,google / organic,2,2,0.5,4,0,2,2,0.5,4,0
【2026年最新版】関東・東日本の海上釣り堀ランキングTOP3｜全9施設比較 — 海上アングラー,/fishing-facility/east-japan,yahoo / organic,2,2,1,57.5,0,2,2,1,57.5,0
【2026年最新版】関西・西日本の海上釣り堀ランキングTOP3｜全79施設比較 — 海上アングラー,/blog/fishing-facility/west-japan,bing / organic,2,1,1,11,0,2,1,1,11,0
【2026年最新版】関西・西日本の海上釣り堀ランキングTOP3｜全79施設比較 — 海上アングラー,/fishing-facility/west-japan,(direct) / (none),2,2,0.5,0,0,2,2,0.5,0,0
【2026年最新版】関西・西日本の海上釣り堀ランキングTOP3｜全79施設比較 — 海上アングラー,/fishing-facility/west-japan,yahoo / organic,2,2,1,44,0,2,2,1,44,0
【8月】「死にアジ」活用術！活き餌が弱る猛暑日の裏ワザと誘い方 — 海上アングラー,/column/trivia/august-dead-bait-technique,yahoo / organic,2,1,0,0.5,0,2,1,0,0.5,0
【三重県】つりぼりマルヨ｜歩いて行ける「陸続き」！4日の大放流＆破格の子供料金が魅力 — 海上アングラー,/blog/tsuribori-maruyo,yahoo / organic,2,2,1,34,0,2,2,1,34,0
【三重県】賢島フィッシングパーク海遊苑｜駅チカ＆手ぶら！釣って即食べる極上体験 — 海上アングラー,/blog/kashikojima-fishing-park-kaiyuen,(direct) / (none),2,1,0,0,0,2,1,0,0,0
【三重県】鵜方浜釣センター｜屋根・トイレ完備の「快適筏」で英虞湾の野生チヌに挑む — 海上アングラー,/blog/ugata-hamatsuri-center,google / organic,2,2,1,46.5,0,2,2,1,46.5,0
【京都府】舞鶴親海公園｜入場無料！365日楽しめる舞鶴湾のファミリー釣り場 — 海上アングラー,/blog/maizuru-shinkai-park,google / organic,2,2,1,45,0,2,2,1,45,0
【佐賀県】仮屋湾遊漁センター｜天然と養殖が共存！初心者から大物狙いまで楽しめる4つのコース — 海上アングラー,/fishing-facility/kariyawan-fishing-center,bing / organic,2,2,1,87.5,0,2,2,1,87.5,0
【和歌山県】カタタの釣堀｜白浜温泉＆とれとれ市場に隣接！2コース制が嬉しい海上釣り堀 — 海上アングラー,/fishing-facility/kakata-fishing-pond,(direct) / (none),2,2,0,2.5,0,2,2,0,2.5,0
【和歌山県】雑賀崎シーパーク｜桟橋で歩いて渡れるバリアフリー海上釣り堀！チョイ釣りもOK — 海上アングラー,/blog/saikakizaki-seapark,(direct) / (none),2,1,0.5,16,0,2,1,0.5,16,0
"【大分県】かまえ海上釣り堀 釣っちゃ王｜女性9,500円〜・竿1本シェアOKでマダイ保証 — 海上アングラー",/fishing-facility/kamae-sea-fishing-tsunchaoh,openai / organic,2,2,0,5.5,0,2,2,0,5.5,0
【大阪府】南港魚つり園護岸｜青物・タチウオ爆釣！朝5時から入れる大阪市内の海釣りスポット — 海上アングラー,/fishing-facility/nanko-fishing-park,openai / organic,2,2,1,64,0,2,2,1,64,0
【大阪府】海釣ぽーと田尻｜雨でも安心！橋の下にある全天候型・放流満載の釣り堀 — 海上アングラー,/blog/umizuri-port-tajiri,google / organic,2,2,0.5,17,0,2,2,0.5,17,0
【極味】マダイの「熟成」を極める：津本式血抜きから旨味がピークに達する「3日目」の秘密 — 海上アングラー,/tactics/fish-strategy/madai/gourmet,(direct) / (none),2,2,0.5,3,0,2,2,0.5,3,0
"【沖縄県】糸満イカダ｜大人2,800円！那覇空港30分で高級魚タマンに挑む天然釣り場 — 海上アングラー",/blog/itoman-ikada-tsurigu-no-zousan,yahoo / organic,2,2,0.5,14,0,2,2,0.5,14,0
"【熊本県】海釣りランド｜格安700円・手ぶらセット2,000円・橋型桟橋で本格波止釣り体験 — 海上アングラー",/blog/sea-fishing-land,google / organic,2,2,1,43,0,2,2,1,43,0
【福井県】あかぐり海釣公園｜絶景の桟橋釣り場！サビキからエギングまで楽しめる若狭湾の聖地 — 海上アングラー,/fishing-facility/akaguri-sea-fishing-park,bing / organic,2,2,1,25.5,0,2,2,1,25.5,0
"【福井県】ひるが海上釣堀｜11,000円・三方五湖・日向湖で高級魚を狙う人気釣り堀 — 海上アングラー",/blog/hiruga-sea-fishing-pond,google / organic,2,1,0.5,16.5,0,2,1,0.5,16.5,0
【福井県】シーパーク丹生｜手ぶらでGO！釣った真鯛をその場でBBQ！究極の「食育」体験 — 海上アングラー,/blog/seapark-nyu,google / organic,2,2,1,98.5,0,2,2,1,98.5,0
【福井県】若狭高浜海釣り公園｜入場200円！絶景の橋の上で楽しむ爽快フィッシング — 海上アングラー,/blog/wakasa-takahama-sea-fishing-park,google / organic,2,2,0.5,5.5,0,2,2,0.5,5.5,0
【福井県】若狭高浜海釣り公園｜入場200円！絶景の橋の上で楽しむ爽快フィッシング — 海上アングラー,/fishing-facility/wakasa-takahama-sea-fishing-park,google / organic,2,2,1,31,0,2,2,1,31,0
【福岡県】日明かんしんつり公園｜小倉駅近の無料スポット！工場夜景と楽しむ釣り — 海上アングラー,/fishing-facility/hiake-kaikyo-fishing-park,google / organic,2,2,1,72,0,2,2,1,72,0
【福岡県】脇田（わいた）海釣り桟橋｜手ぶらセット800円！響灘のコスパ最強スポット — 海上アングラー,/blog/waita-sea-fishing-pier,(direct) / (none),2,2,0,0,0,2,2,0,0,0
【閉業】海釣り公園みかた｜釣ってその場でBBQ！食育にも最適な体験型釣り堀（福井県若狭町） — 海上アングラー,/fishing-facility/sea-fishing-park-mikata,(direct) / (none),2,2,0.5,2,0,2,2,0.5,2,0
【青森県】浅虫海釣り公園｜手軽な料金・四季の魚種・初心者も安心の海釣り体験 — 海上アングラー,/blog/asamushi-sea-fishing-park,yahoo / organic,2,2,1,17,0,2,2,1,17,0
【香川県】小豆島ふるさと村 釣り桟橋｜※現在閉鎖中：オリーブの島で親しまれた観光釣りスポット — 海上アングラー,/blog/shodoshima-furusatomura-fishing-pier,google / organic,2,2,1,18.5,0,2,2,1,18.5,0
"【高知県】つり筏 深浦｜3,000円でトイレ・屋根・コーヒー付き！快適すぎる筏釣りパラダイス — 海上アングラー",/blog/tsuri-ikada-fukaura,service.smt.docomo.ne.jp / referral,2,2,1,70.5,0,2,2,1,70.5,0
大阪府の海上釣り堀・海釣り施設一覧（西日本） — 海上アングラー,/fishing-facility/west-japan/osaka,google / organic,2,2,1,13.5,0,2,2,1,13.5,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/,search.google.com / referral,2,1,0.5,2,0,2,1,0.5,2,0
針のサイズと形状が釣果を決める。号数・軸長・ネムリの科学 — 海上アングラー,/column/trivia/hook-size-science,google / organic,2,2,1,36,0,2,2,1,36,0
釣った魚の配送完全ガイド｜クール便・発泡スチロールセット・受け取り設計のコツ — 海上アングラー,/column/travel/fish-shipping-guide,google / organic,2,2,0,2,0,2,2,0,2,0
釣果を分ける「ハリス」の選び方｜フロロカーボンの号数と長さの基準 — 海上アングラー,/blog/tactics/gear/harris-importance,bing / organic,2,2,1,26.5,0,2,2,1,26.5,0
釣果を分ける「ハリス」の選び方｜フロロカーボンの号数と長さの基準 — 海上アングラー,/blog/tactics/gear/harris-importance,google / organic,2,1,0.5,22,0,2,1,0.5,22,0
Blog — 海上アングラー,/,(direct) / (none),1,1,1,16,0,1,1,1,16,0
Blog — 海上アングラー,/,search.google.com / referral,1,1,1,14,0,1,1,1,14,0
Error 404 — 海上アングラー,/blog/araibenten-sea-fishing-park,(direct) / (none),1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/asamushi-sea-fishing-park,google / organic,1,1,0,2,0,1,1,0,2,0
Error 404 — 海上アングラー,/blog/awaji-janohire-fishing-park,google / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/column/ranking/kansai,bing / organic,1,1,0,2,0,1,1,0,2,0
Error 404 — 海上アングラー,/blog/column/ranking/kansai,chatgpt.com / ai-assistant,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/column/ranking/mie-wakayama,bing / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/column/trivia/may-spawning-tai-taste-guide,yahoo / organic,1,1,0,2,0,1,1,0,2,0
Error 404 — 海上アングラー,/blog/column/trivia/november-kue-mahata-rig-guide,yahoo / organic,1,1,1,26,0,1,1,1,26,0
Error 404 — 海上アングラー,/blog/family-tsuribori-tsutteminde,yahoo / organic,1,1,0,10,0,1,1,0,10,0
Error 404 — 海上アングラー,/blog/fishing-facility/west-japan,bing / organic,1,1,0,2,0,1,1,0,2,0
Error 404 — 海上アングラー,/blog/fishing-land-hyuga,yahoo / organic,1,1,0,1,0,1,1,0,1,0
Error 404 — 海上アングラー,/blog/fishing-park-triton,bing / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/kaijo-tsuribori-at-sea,yahoo / organic,1,1,1,7,0,1,1,1,7,0
Error 404 — 海上アングラー,/blog/kaijo-tsuribori-taikoubou,bing / organic,1,1,1,4,0,1,1,1,4,0
Error 404 — 海上アングラー,/blog/kaijo-tsuribori-taikoubou,duckduckgo / organic,1,1,0,3,0,1,1,0,3,0
Error 404 — 海上アングラー,/blog/kamae-sea-fishing-tsunchaoh,yahoo / organic,1,1,0,11,0,1,1,0,11,0
Error 404 — 海上アングラー,/blog/kanpachi-strategy,bing / organic,1,1,1,422,0,1,1,1,422,0
Error 404 — 海上アングラー,/blog/maizuru-shinkai-park,(direct) / (none),1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/mukai-pearl-marine,yahoo / organic,1,1,0,3,0,1,1,0,3,0
Error 404 — 海上アングラー,/blog/naoshima-fishing-park,yahoo / organic,1,1,0,3,0,1,1,0,3,0
Error 404 — 海上アングラー,/blog/raft-fishing-takahashi,google / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/raft-fishing-takahashi,yahoo / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/sea-fishing-land,google / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/sea-fishing-park-mikata,bing / organic,1,1,0,3,0,1,1,0,3,0
Error 404 — 海上アングラー,/blog/shimanami-kaido-fishing-park,google / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/shinmaiko-marine-park-fishing,(direct) / (none),1,1,0,2,0,1,1,0,2,0
Error 404 — 海上アングラー,/blog/shinmaiko-marine-park-fishing,openai / organic,1,1,0,1,0,1,1,0,1,0
Error 404 — 海上アングラー,/blog/shinojima-tsuri-tengoku,bing / organic,1,1,1,24,0,1,1,1,24,0
Error 404 — 海上アングラー,/blog/shinojima-tsuri-tengoku,yahoo / organic,1,1,0,1,0,1,1,0,1,0
Error 404 — 海上アングラー,/blog/shodoshima-furusatomura-fishing-pier,google / organic,1,1,0,2,0,1,1,0,2,0
Error 404 — 海上アングラー,/blog/susawan-fishing-park,google / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/tactics/beginner/bait-guide,google / organic,1,1,0,1,0,1,1,0,1,0
Error 404 — 海上アングラー,/blog/tactics/fish-strategy/fugu/advanced,google / organic,1,1,0,1,0,1,1,0,1,0
Error 404 — 海上アングラー,/blog/tactics/fish-strategy/fugu/theory,bing / organic,1,1,0,3,0,1,1,0,3,0
Error 404 — 海上アングラー,/blog/tactics/fish-strategy/kanpachi/strategy,bing / organic,1,1,0,2,0,1,1,0,2,0
Error 404 — 海上アングラー,/blog/tactics/gear/harris-importance,google / organic,1,1,1,1,0,1,1,1,1,0
Error 404 — 海上アングラー,/blog/takashima-tobishima-isotsuri-park,bing / organic,1,1,0,2,0,1,1,0,2,0
Error 404 — 海上アングラー,/blog/tana-basics,bing / organic,1,1,0,1,0,1,1,0,1,0
Error 404 — 海上アングラー,/blog/tomakomai-port-sea-fishing-facility,google / organic,1,1,0,1,0,1,1,0,1,0
Error 404 — 海上アングラー,/blog/totto-park-koshima,google / organic,1,1,0,1,0,1,1,0,1,0
Error 404 — 海上アングラー,/blog/tsuri-ikada-fukaura,google / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/tsuri-ikada-fukaura,yahoo / organic,1,1,0,4,0,1,1,0,4,0
Error 404 — 海上アングラー,/blog/tsuribori-maruyo,google / organic,1,1,1,1,0,1,1,1,1,0
Error 404 — 海上アングラー,/blog/tsuruga-city-sea-fishing-park,bing / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/ugata-hamatsuri-center,yahoo / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/umizuri-port-tajiri,bing / organic,1,1,0,4,0,1,1,0,4,0
Error 404 — 海上アングラー,/blog/umizuri-port-tajiri,google / organic,1,1,1,7,0,1,1,1,7,0
Error 404 — 海上アングラー,/blog/umizuri-port-tajiri,yahoo / organic,1,1,0,4,0,1,1,0,4,0
Error 404 — 海上アングラー,/blog/yura-marine-fishing-pond,google / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/blog/yura-marine-fishing-pond,yahoo / organic,1,1,0,1,0,1,1,0,1,0
Error 404 — 海上アングラー,/blog/yura-sea-fishing-park,yahoo / organic,1,1,0,1,0,1,1,0,1,0
Error 404 — 海上アングラー,/fishing-facility/center-japan/shizuoka/fishing-park-toi,google / organic,1,1,0,0,0,1,1,0,0,0
Error 404 — 海上アングラー,/fishing-facility/center-japan/shizuoka/fishing-park-toi,yahoo / organic,1,1,0,2,0,1,1,0,2,0
Error 404 — 海上アングラー,/fishing-facility/east-japan/ibaraki,google / organic,1,1,0,2,0,1,1,0,2,0
